,Name,Condition,Price,Purchase Option,Shipping Cost,url
10,NEW BANDAI Mobile Suit Gundam Seed ASTRAY Blue Frame 4.5” Action Figure MSIA MIA,Brand New,$12.50,3 bids,+$7.50 shipping,<a href='https://www.ebay.com/itm/NEW-BANDAI-Mobile-Suit-Gundam-Seed-ASTRAY-Blue-Frame-4-5-Action-Figure-MSIA-MIA/184308999808?hash=item2ae9ac2680:g:JkgAAOSw8Z5eutSv'>link</a>
11,Bandai Hobby Gundam MS07B-3 Gouf Custom MG 1/100 Model Kit USA Seller,Brand New,$38.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-MS07B-3-Gouf-Custom-MG-1-100-Model-Kit-USA-Seller/133416770862?epid=1839009142&hash=item1f10425d2e:g:9DkAAOSwOtpextGY'>link</a>
12,Bandai Gundam Iron-Blooded Orphans IBO Barbatos 6th Form HG 1/144 Model Kit USA,Brand New,$21.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-Iron-Blooded-Orphans-IBO-Barbatos-6th-Form-HG-1-144-Model-Kit-USA/133416625942?epid=23038028276&hash=item1f10402716:g:M3sAAOSwaj1expmM'>link</a>
13,BANDAI GUNDAM ARCH ENEMY ACTION FIGURE LOT RX-78 Gelgoog Wing Tallgeese Strike,Pre-Owned,$10.50,4 bids,+$13.95 shipping,<a href='https://www.ebay.com/itm/BANDAI-GUNDAM-ARCH-ENEMY-ACTION-FIGURE-LOT-RX-78-Gelgoog-Wing-Tallgeese-Strike/143618979140?hash=item21705bb544:g:nS8AAOSwyHFe0wDO'>link</a>
14,Bandai Hobby Gundam HGUC #40 MS-06 Zaku II HG 1/144 Model Kit USA Seller,Brand New,$14.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-HGUC-40-MS-06-Zaku-II-HG-1-144-Model-Kit-USA-Seller/133416763563?epid=28027573831&_trkparms=ispr%3D1&hash=item1f104240ab:g:5zEAAOSwn1BetEpX&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKYEiouKGJFreG7Ca77cGCEZjLKISYq9bZlpSQ%2FTR29qt4ADcJ6ma7EbuP2ycSNby%2FrBZgxKigSMkhNhMrYw27HULWfN3c33vdPgKx%2BaR5nPj13qEjRDpTVfpct5kgWUPb56URh%2FgVDxdXB9XhNxY7ekkTm%2BsVdu28ZsxMlR0aJd8wo52jtOIDyeb3HPYfdxgFRW1xBSie2kIm4WgxB12OzrhJoeU%2FrHRO7%2FrtCjsVZYNo52I%2FjE3slWU1G%2B9FClXVVZJ9Kw%2FR6Aa4RijcB9TPc2zN7cd%2B8TAKQcSCAocipE8QNJ79%2B6UW75LgEBM2rmSKkin30Rncae9r7cQdomRngg%2BPKXc7ZirssUq8IaZAUU1PvMlYwLFL48y%2ByoEkyaftc5nqPGPuhTLcZX2GmAzQEEVm%2B9JCd8%2F0q8MOT%2FB1T9nGwY9lQGj%2BaWxH%2FEvDALmcdKbVp7kvkcbx9vF4nVqrEq%2BqUkLhEUFT98K0taRq3bXpLhYJiquLJVGCTF%2FWh3EmpGyCcX6vkFw6HAagD%2F35KzyxPS3T5CjQEQkt%2BNWZ0STxNf1L8koCz1dafMH61JAz2Lx%2B5Wu2f3wiRfz4%2B3vltRi0eqXbhpz%2Bvt97pChg6hT620g1fosUJfAJf2zC90THcXrdhpgiDA7sHx1mv4aK7gNEmM1dNZpd6fkzSrUeZGeElWgy2DhKgq%2BcB6%2B1LZl3yVdd%2F3MPBIhRaYbUQoBSql8xtoEosJDtpGYbmtJ%2BRv0JBFuzcLykn3QYsCAY3aLd&checksum=133416763563f2c4876167004cb1a688201703049068'>link</a>
15,Bandai Gundam SEED Destiny #22 Gunner Zaku Lunamaria HG 1/144 Model Kit USA,Brand New,$20.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-SEED-Destiny-22-Gunner-Zaku-Lunamaria-HG-1-144-Model-Kit-USA/143611204470?epid=2296053640&_trkparms=ispr%3D1&hash=item216fe51376:g:GCsAAOSwo1ZexrMp&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXK3Ho3%2BXGUZEkZ%2B9o2VFrTKvz8slh15UimENfxhi3H%2BPyHrda1UnvsAo8u9aAKbaJRqHoLnhvheg9QNVJAbooMBBYdxM76027hvSGONoO3yoE5NFY%2FJs8noPaLPmVQduGRzLCkub3%2B34UOimDBSOcuS3q3VgF64LHDcU3MwxbENHCywVnM5Qf%2F2Z1KPjI%2Bze8mBtbcgMfDluRvJe1ZQW%2FoDahiKd6BQCjeEA0QbifErK8wxhWviX4j3dxSC1oDjX4Xv2J3jQpB3rMQENRfabChnNko6kIvL%2F7brX5h6WR6KxQsCfW7GgcV88Ur7cIvSGEdLi%2FfIjYUC3DktlwZyQg8sB0cPBJR%2BkrYG09%2BRd2TK8bQ1vPMYPir8T5GeMdJxtXc151KR1dowM4ZLIR0gFclcvFljc1Xsjy0DIl7zdnUnvQM1kVvA7lE5rzT7lvWxW3%2BSec%2BhtMkJvyFwHFUIKOgFEhGARJPTr4JGbTFk8KJmza34QCIxpxmQakE3EMXhMLtGick2b4CnooBk9%2FdA7u3VsNULXQBVMX6fyOEddP4i92cv8Mp4YDYhXsuUkkvx4xptUI5O1tDBH002dcKM11CIXcvZjDl1m5M%2Bt3twRrbyq7LTRNOU0bTM3%2F4OZu%2FNI6GVfUxAfuaYPPhr%2BU8hjcT1mhFDX8UXWsiTyj4A7yW1oZEUNxowsF0LFvrDxi8p69BvB%2BgLuVW5xNvy3jC4OnAsAq4Ps5qPKscMlgarsNoKj7T64nN0%2F02l6jX1P9jghK%2F&checksum=143611204470f2c4876167004cb1a688201703049068'>link</a>
16,BANDAI MG 1/100 XXXG-01W Wing Gundam EW Ver 169489 US Seller USA,Brand New,$41.56,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/BANDAI-MG-1-100-XXXG-01W-Wing-Gundam-EW-Ver-169489-US-Seller-USA/133415895778?epid=2255631314&_trkparms=ispr%3D1&hash=item1f103502e2:g:tw0AAOSwRUJexY-c&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKYEiouKGJFreG7Ca77cGCERW6cSWDYwLUzvmpZsdpOpZXTkHOLQQHPSXcJ9EaYyLhpZ8cgpc6mkAksIlZd1QRihf52RDSAoco0K%2B71I8Y4aaMngcs%2FryskWlvzxcez2mnDffv1mo4khLtAuGNrlajEqgc9r2xlnFFGD2cNspE0Dt7rcJCpE6eTzdBdwCfaZEXvYKxL74a%2BvCxiDOVMN96tT1kdKw%2FpbpEWYyd1Lmsd3R5AQ4mYtWSYVghoZDK%2F6f6ZfKoAqzrAAdhv6I%2BLc5YTBlxsykCsufYqclocp9pvK7dEzMgkCdWXdPLWMMnxW%2Bac2SSPkqOcBGUYY2G87JThYBvXiua9iT0UBp0DjqZMWDAtEfyT0tN2jrijvAY%2FOinn3JleKs3OBaw%2FZxgCaP%2B5RLN7emrg9YUNEvQ97BXxTkWjk7Jfzd%2FaS2Pei5WIUQMGMbABo1cEQhGxLilM0GkI4O7Y5DGkAtK7MX53II%2FoiKZVUxyoyY1AoT%2FTDMPZ2Iwx0PiQpu5kifKplfbSgPgwFzS%2BeHK30QAQmI8cmzYE%2Bi%2BQ2f3BSDmwCf5ARJB3yxtn3BdhUN%2BdnjZqDj%2BNTjoyHItL1oWIVBAmaQCjvOPoAGY9v8UeVEUn0wXq7fMw%2BTmlQHTPg0nWD4G8eNHctoX4rn19rxqQZk1I4tpegdUgicZlODhafqgcaZkcaACzKDsX6yuGnNrLbPb%2B43CrJ2Wzbv0T%2BW2t2WmtfNoV1yCOFzrbkhFbHO8mamd1srmEyWK&checksum=133415895778f2c4876167004cb1a688201703049068'>link</a>
17,Bandai Hobby G40 Industrial Design Ver. RX-78-2 Gundam HG 1/144 Model Kit USA,Brand New,$39.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-G40-Industrial-Design-Ver-RX-78-2-Gundam-HG-1-144-Model-Kit-USA/133417694782?epid=4035202531&_trkparms=ispr%3D1&hash=item1f1050763e:g:En0AAOSwkZleyDNQ&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKYEiouKGJFreG7Ca77cGCESS%2BmFuhsSWJihT4VteelxTYOZLRQ81KzbFH%2BegQV75T2vJjHixHRPjkJjUOrv6iecA%2B%2F%2F3FDImnmtnGRDOypAfLG5d6MRMz9Fl7cLsiaEcGZGQ5D0WY7ckJxcdBWv7%2F7Y6r%2B53x0%2Fw2ydI75Y0Ng%2Fpa33fqanw%2F%2Bd8FxoKmskLEANlSvnBGJLdjUX5P6S0yAGzU0X1LWBNPn0E%2FEMDXcFOzr9mf5qUMT778hL94LexNLA2HVfeRvum4U2Ci4Gc0N7vVodW2tCnXWZG7qBjHq3gzoX0I5%2BMprScKahkrjUe8AvE6kkc627NpSCxlYZ3oHmsAo63ZuybkEDvTlMRz4BwvXge1Q3gvo8QiU7B%2BcS1oC3J59LsiycogLJZ4SbkjDXzTVv%2BHjQPGrA%2FNeF8a3dbMDrd8JXMrSHmw8ye82QZWPM%2FN%2BQ1CkoI5K2XMw2Xvu24F2MusHO%2FVbAVWQE6CRTS73YsQLm3Vz8BsBXqP5PJxvtY0oiHtR%2Bmn0s6ZzmIBP2NCph1EpcK3XCLKKeZc9u5v4OYWX6WAUYTDdXK0lWA2XiaifaY7%2BD1KvqxjZ6ULVslNJVJsh27NkG24A36K5YDy%2F0G0HGJys%2BgVG9j%2BltYbgcym7oLlOzwpsL2t0%2F6CDXmHmn1yLzOQFDpTZp39WCX7mCW%2BFw2AFJsbzy43PpizMQyY5XXpBj7A%2Fn9ZjAY3joqaZqyt%2FyBnhzELG3OXwKv3%2BGiYehLk%2BAmSPKS7Cgwh&checksum=133417694782f2c4876167004cb1a688201703049068'>link</a>
18,Bandai Hobby Gundam HGUC RGM-79FP GM Striker HG 1/144 Model Kit USA Seller,Brand New,$14.60,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-HGUC-RGM-79FP-GM-Striker-HG-1-144-Model-Kit-USA-Seller/143531274289?epid=25011367735&hash=item216b217031:g:gFEAAOSwWSJefRjg'>link</a>
19,Bandai Hobby RX-0 Unicorn Gundam OVA Version 1/100 MG Model Kit USA Seller,Brand New,$59.91,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-RX-0-Unicorn-Gundam-OVA-Version-1-100-MG-Model-Kit-USA-Seller/133415865327?epid=1701774094&hash=item1f10348bef:g:xLgAAOSwqA9e1Sof'>link</a>
20,NEW Mobile Suit ZETA GUNDAM 4” Speed Grade 1:200 scale Action Figure Kit BANDAI,Brand New,$10.91,11 bids,+$7.50 shipping,<a href='https://www.ebay.com/itm/NEW-Mobile-Suit-ZETA-GUNDAM-4-Speed-Grade-1-200-scale-Action-Figure-Kit-BANDAI/184310360695?hash=item2ae9c0ea77:g:D0cAAOSwWcBe0acz'>link</a>
21,Bandai Iron-Blooded Orphans IBO Gundam Astaroth Rinascimento HG 1/144 Model Kit,Brand New,$24.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Iron-Blooded-Orphans-IBO-Gundam-Astaroth-Rinascimento-HG-1-144-Model-Kit/133416641387?epid=25011368909&hash=item1f1040636b:g:SDkAAOSw6p9exp4E'>link</a>
22,Bandai Gundam SD EX-Standard Hello Kitty and RX-78-2 Gundam Set Model Kit USA,Brand New,$44.99,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-SD-EX-Standard-Hello-Kitty-and-RX-78-2-Gundam-Set-Model-Kit-USA/233595355580?epid=18035154309&hash=item36635e41bc:g:298AAOSw4iNexyjN'>link</a>
23,,Brand New,$50.00,1 bid,+$9.60 shipping,<a href='https://www.ebay.com/itm/Gundam-Lot-New-Model-Kits-Gundam-00-Gundam-Build-Divers-Gunpla/143622168503?hash=item21708c5fb7:g:L7oAAOSw56Re1vpr'>link</a>
24,Bandai Hobby Nu Gundam RG 1/144 Model Kit USA Gundam Seller ,Brand New,$46.99,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Nu-Gundam-RG-1-144-Model-Kit-USA-Gundam-Seller/143405212874?epid=7034152178&hash=item21639de4ca:g:UrMAAOSwBYpdm6Ob'>link</a>
25,Bandai Hobby Gundam SEED Providence Gundam MG 1/100 Model Kit 215629 USA Seller,Brand New,$54.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-SEED-Providence-Gundam-MG-1-100-Model-Kit-215629-USA-Seller/143610565636?epid=515447801&hash=item216fdb5404:g:kX8AAOSwcp9exZPS'>link</a>
26,Bandai Hobby Gundam Unicorn 02 Banshee Ver. Ka MG 1/100 Model Kit USA Seller,Brand New,$59.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Hobby-Gundam-Unicorn-02-Banshee-Ver-Ka-MG-1-100-Model-Kit-USA-Seller/133410167948?epid=25014474143&hash=item1f0fdd9c8c:g:T4kAAOSw-m1epzRi'>link</a>
27,Zaku & Magella Attack Tank Mount Mobile Suit Gundam!,Pre-Owned,$7.30,1 bid,Free Shipping,<a href='https://www.ebay.com/itm/Zaku-Magella-Attack-Tank-Mount-Mobile-Suit-Gundam/373066355699?hash=item56dc7cd3f3:g:UjcAAOSwafNezppC'>link</a>
28,Bandai Gundam Action Base 4 Clear Gunpla 1/100 Scale Display Stand USA Seller,Brand New,$13.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/Bandai-Gundam-Action-Base-4-Clear-Gunpla-1-100-Scale-Display-Stand-USA-Seller/133396765646?epid=16035120308&hash=item1f0f111bce:g:J5oAAOSwlXdepz2H'>link</a>
29,BANDAI RG 11 - DESTINY GUNDAM Model Kit 1/144,Brand New,$29.99,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/BANDAI-RG-11-DESTINY-GUNDAM-Model-Kit-1-144/142593725564?hash=item21333f947c:g:iGsAAOSwPgxVRO89'>link</a>
30,NEW Mobile Suit Battle Scarred DRAGON GUNDAM 4.5” Action Figure BANDAI MSIA,Brand New,$15.50,5 bids,+$7.50 shipping,<a href='https://www.ebay.com/itm/NEW-Mobile-Suit-Battle-Scarred-DRAGON-GUNDAM-4-5-Action-Figure-BANDAI-MSIA/184310217964?hash=item2ae9bebcec:g:sCgAAOSwGhpe0W33'>link</a>
31,RG #11 Destiny Gundam 1/144,Brand New,$31.99,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/RG-11-Destiny-Gundam-1-144/333588187432?hash=item4dab67c928:g:U6wAAOSwNsdehk2y'>link</a>
32,BANDAI HG IBO Iron-Blooded Season 2 1/144 Gundam Vidar 212192 US Seller USA,Brand New,$19.95,Buy It Now,Free Shipping,<a href='https://www.ebay.com/itm/BANDAI-HG-IBO-Iron-Blooded-Season-2-1-144-Gundam-Vidar-212192-US-Seller-USA/133415872552?epid=5024192774&hash=item1f1034a828:g:7DIAAOSwZrtexYqo'>link</a>
