price,subway,district,square,livingRoom,drawingRoom,kitchen,bathRoom
40909,1,7,86.78,2,2,1,1
63771,1,7,61,2,1,1,1
29127,0,7,103,3,1,1,1
67678,1,7,75.21,2,1,1,1
25000,1,13,136,3,2,1,2
51167,0,2,60,2,1,1,1
22167,0,5,90,2,1,1,1
26600,0,13,300,4,2,1,2
32377,0,5,65,1,1,1,1
56250,1,10,160,5,2,1,2
35059,1,7,85,1,1,1,1
25843,0,7,89,3,1,1,1
53799,0,8,258,5,2,1,3
23364,0,6,110,2,1,1,1
27664,0,5,107,3,1,1,1
32794,1,7,143.32,1,0,0,0
31288,0,2,66.48,1,1,1,1
49243,1,7,132,4,1,1,2
26805,1,3,47.38,1,1,0,1
27272,1,3,53.17,1,1,0,0
51292,1,7,52.64,2,1,1,1
58000,1,8,60,1,1,1,1
45091,0,2,55,2,1,1,1
34971,1,7,135.83,3,1,1,2
21600,1,5,87.04,2,1,1,1
64956,0,8,93.91,2,2,1,2
42000,1,7,50,1,1,1,1
30051,1,4,73.21,2,1,1,1
44116,1,9,64.15,2,1,1,1
22341,0,5,94,2,2,1,1
46512,0,8,124.7,3,2,1,1
40759,0,7,166.1,3,1,1,1
24252,0,12,63.09,2,1,1,1
56651,1,7,60.9,2,1,1,1
77242,1,1,145,3,2,1,2
25464,0,12,98.77,3,1,1,1
27480,0,12,167.4,4,2,1,2
20041,0,6,94.81,2,2,1,1
22755,0,12,167,4,2,1,2
25000,0,12,146,4,1,1,2
28505,0,12,51.22,1,1,1,1
30685,0,12,92.88,2,1,1,1
21403,0,12,64.9,2,1,1,1
15991,0,4,162.6,3,2,1,2
47939,1,7,173.14,4,2,1,2
28606,1,6,46.39,2,0,1,1
22332,0,5,40.75,1,0,1,1
70738,1,7,56.83,2,1,1,1
44768,1,6,50.26,1,1,0,1
39692,0,9,98.51,3,1,1,1
19758,1,6,55.17,1,0,0,1
56787,0,2,71.32,1,1,1,1
29615,0,6,236.37,6,2,1,4
16337,0,13,202,4,2,1,2
65637,1,7,150.83,2,2,1,2
28709,0,13,89.87,2,2,1,1
30034,0,5,89.9,3,2,1,1
76617,1,10,57.69,2,0,1,1
25000,1,6,118,3,1,1,1
12475,0,5,194,5,2,1,4
37287,1,6,141.07,3,1,1,2
28031,0,4,221.19,4,2,1,2
26356,0,6,124.45,3,1,1,1
27947,1,6,146.71,3,1,1,2
69006,1,8,146.8,2,1,1,2
46271,1,7,47.59,1,1,1,1
47521,0,6,121,3,1,1,2
32743,1,2,193.94,3,2,1,2
17576,0,13,33,1,0,1,1
20834,1,6,51.12,1,0,1,1
42708,1,1,110.05,2,2,1,2
34207,0,7,59.93,1,1,1,1
20579,0,6,281.85,5,2,1,3
56900,1,2,147.63,3,2,1,2
29483,1,7,111.93,3,2,1,1
56191,1,8,63,1,1,1,1
23464,0,12,80.55,2,1,1,2
60823,0,7,310.74,4,2,1,3
46567,0,1,53,2,1,1,1
82259,1,1,124,3,2,1,2
36200,0,2,50,1,1,1,1
72132,1,1,305,3,2,1,3
46083,1,7,43.4,1,1,1,1
45371,1,2,108,3,2,1,1
69231,1,7,65,2,1,1,1
18870,0,6,93.8,2,1,1,1
50934,1,7,41.23,1,1,1,1
119684,0,10,46.79,1,1,1,1
29067,0,6,75,1,1,1,1
64000,1,8,105.47,2,1,1,1
91013,0,7,202.17,3,2,1,3
51014,0,7,227,4,2,1,3
31275,1,5,89.53,3,1,1,1
51087,1,7,46,1,0,1,1
46622,1,8,74,3,1,1,1
74009,1,8,227,6,2,1,3
38077,1,7,130,3,1,1,2
54152,1,7,58.17,1,0,1,1
32734,0,13,169.55,4,2,1,2
52440,1,7,57.4,1,0,1,1
30097,0,7,403.3,6,3,1,4
65498,1,7,137.41,2,1,1,2
22416,1,6,106,2,1,1,1
24649,1,5,81.14,2,1,1,1
47334,0,7,45,1,1,1,1
29637,0,7,55,1,1,1,1
18360,0,3,239.66,4,2,1,4
46000,1,7,60,2,0,1,1
17788,0,5,66.34,1,1,1,1
26497,0,7,117.75,2,1,1,1
74976,1,10,162.72,3,2,1,2
24638,0,6,69,1,1,1,1
46017,1,7,84.1,3,1,1,1
33110,1,5,78.83,2,1,1,1
25987,1,6,42.33,1,1,1,1
32172,0,7,35,1,0,1,1
34823,1,2,34.46,1,0,1,1
85587,1,8,198.63,4,2,1,2
27500,0,8,60,1,1,1,1
59195,1,7,41.22,1,1,1,1
65741,1,8,108,2,2,1,1
100045,1,10,158.43,3,2,1,2
22200,0,13,300,4,3,1,3
49693,1,7,71.44,2,1,1,1
19797,0,6,184.38,3,2,1,2
58732,1,7,102.16,1,1,1,1
25315,0,6,127.95,3,2,1,2
32360,0,6,89,2,1,1,1
36338,1,7,123.84,3,1,1,2
24138,0,6,116,3,1,1,1
30924,0,2,69.85,2,1,1,1
54363,1,7,220.74,2,2,1,2
25912,1,6,142.02,3,2,1,1
57046,1,1,192.83,3,2,1,2
27511,0,12,116.5,3,1,1,2
26134,0,6,37.5,1,0,0,1
12105,0,5,168.94,5,2,1,2
33937,1,7,66.89,2,1,1,1
35572,1,2,84,2,1,1,1
30858,1,2,35,1,0,0,1
30688,1,13,48.88,1,0,0,1
26667,1,6,51,1,0,1,1
48325,0,13,87.12,5,2,1,3
25211,0,6,69.02,1,1,1,1
40780,0,7,77,2,1,1,1
24680,0,5,124.8,3,2,1,2
37457,0,2,91.84,2,1,1,1
24728,0,4,55,1,1,1,1
64706,1,7,85,1,1,1,1
54269,1,7,164,3,2,1,2
35396,0,7,236.75,4,3,1,3
55556,0,7,179.82,3,2,1,2
20000,1,3,33,1,0,1,1
33431,1,7,233.32,3,2,1,3
20963,1,6,135,4,1,1,1
126250,1,10,51.01,1,1,1,1
30774,1,6,34.12,1,0,1,1
22875,1,13,48,1,0,0,1
26655,0,7,168.83,4,2,1,3
37954,1,7,60.6,2,1,1,1
45032,1,7,59.07,2,1,1,1
39294,1,11,138.65,3,2,1,2
78216,1,1,57.15,3,1,1,1
26545,0,6,141.27,3,2,1,2
36246,1,7,55.18,1,1,1,1
63628,0,8,102,3,1,1,1
86247,1,7,260.88,4,2,2,3
31600,1,6,55.38,1,0,0,1
97597,1,7,47.44,1,1,1,1
21500,0,6,87.21,2,1,1,1
50518,1,7,58,3,1,1,2
49167,0,2,60,1,1,1,1
34199,0,8,131,4,2,1,2
21211,0,5,157,3,2,1,2
101519,0,10,52.7,1,1,1,1
21647,1,6,121.5,3,2,1,2
19756,0,12,192.35,5,2,1,2
62593,1,7,135,3,1,1,2
24480,0,6,192,4,2,1,2
35172,1,7,88.14,2,1,1,1
53854,0,9,89.13,2,2,1,1
40120,1,7,50.35,1,0,1,1
34841,1,9,70.32,2,1,1,1
17214,0,13,61,1,1,1,1
35278,0,7,85.04,2,1,1,1
29127,0,8,60.77,1,1,0,1
76198,1,10,170.61,4,2,1,2
42854,1,2,70.94,3,1,1,1
71228,1,7,245.69,5,2,1,2
65989,1,10,56.98,1,1,1,1
42031,1,8,48.06,1,1,1,1
22682,0,7,89.5,3,1,1,1
97403,1,8,61.6,2,1,1,1
32109,1,6,118.35,3,2,1,1
10641,1,5,281,3,2,1,2
34876,0,6,68.53,2,1,1,1
75186,1,8,75.28,3,1,1,1
76000,1,1,70,2,1,1,1
43828,1,7,148.31,3,1,1,2
57901,1,7,92.4,2,1,1,1
53354,1,7,65.6,2,1,1,1
50787,1,3,89,3,2,1,3
22376,0,6,172.51,5,1,1,2
54436,1,7,131.9,3,1,1,2
63011,1,7,173.62,3,2,1,2
33623,0,7,252.81,4,2,1,3
20000,0,6,350,4,1,1,2
61186,1,10,135,3,1,1,1
38508,1,7,67,2,0,0,1
32569,0,9,109,3,2,1,1
36083,1,7,97,3,0,0,0
110154,0,10,32.5,1,1,1,1
42135,0,8,178,4,2,1,2
55129,0,7,67.57,2,1,1,1
85840,1,1,59.18,1,1,1,1
21456,0,12,64.32,2,1,1,1
87903,1,8,47.78,1,1,1,1
101625,1,10,132.35,3,1,1,2
41527,1,8,65.5,3,2,1,2
18432,1,13,102,2,2,1,1
16227,0,6,159,1,1,1,1
37231,1,2,66.88,1,1,1,1
51615,1,7,89.51,2,2,1,1
32377,0,7,101,2,2,1,1
29465,1,6,112,1,0,1,1
24591,1,6,55,1,0,0,0
27922,1,4,75.21,2,1,1,1
26974,0,5,91.57,3,1,1,1
83894,0,1,243.76,4,2,1,3
72162,1,7,458,6,4,1,3
20556,0,7,210.65,3,2,1,2
30291,0,13,118.85,3,2,1,2
78093,1,7,243.3,2,2,1,4
33914,0,9,69,2,1,1,1
60740,1,7,95.49,1,1,1,1
46224,1,7,85.67,1,2,1,1
44724,1,7,280.61,5,2,1,2
52831,0,7,53,2,1,1,1
95425,1,8,76.5,3,1,1,1
20770,0,5,65,1,1,1,1
36330,1,7,267,4,2,1,3
56470,0,7,61.98,2,1,1,1
38508,0,2,67,1,1,1,1
35000,0,7,360,9,2,1,4
23900,1,6,50.21,1,0,1,1
77123,0,7,185.42,3,2,1,2
20277,1,7,46.36,1,0,1,1
50459,1,6,218,4,2,1,3
46999,1,7,299.16,3,1,1,2
47567,0,5,80.94,2,2,1,1
59227,1,8,194.17,4,2,1,3
22138,0,6,131,3,1,1,2
28557,0,6,98.05,2,1,1,1
13441,0,13,111.6,3,2,1,2
15233,0,13,111.6,3,2,1,2
30059,1,2,151.14,3,2,1,2
46854,1,7,286,3,1,1,1
24551,0,6,167,3,2,1,2
69061,1,8,72.4,2,1,1,1
29892,0,6,46,1,0,1,1
43279,0,7,61,1,1,1,1
36431,0,6,87.29,2,1,1,1
36435,1,2,123.51,3,1,1,1
64172,1,7,41.14,1,0,1,1
65742,0,6,164.28,4,2,1,2
96864,1,8,65.04,2,1,1,1
58682,0,8,436.25,4,2,1,4
100611,1,8,42.59,1,1,1,1
101831,1,8,142,4,2,1,1
26516,0,6,132,3,1,1,1
33990,0,2,87.38,2,1,1,1
21791,1,6,71.59,1,1,1,1
40705,1,8,127.75,3,2,1,2
16968,0,13,61,1,1,1,1
22416,0,6,118,2,1,1,1
29947,0,3,187,4,1,1,2
52088,1,2,97.72,3,1,1,1
36191,1,7,105,1,1,1,1
67171,1,10,83.37,2,1,1,1
23665,1,6,131,2,1,1,2
83000,1,8,144.58,3,2,1,2
46663,1,7,98.58,2,1,1,1
30842,0,6,38.26,1,1,1,1
21722,1,6,61,1,0,1,1
36941,1,7,134,3,1,1,1
83583,1,1,80.4,3,1,1,1
31232,0,6,137.68,3,2,1,2
28022,0,6,83.15,2,1,1,1
50841,0,7,243.9,3,1,1,3
39429,0,13,70,2,2,1,2
41868,1,7,58.04,2,1,1,1
48306,1,7,65.21,2,1,1,1
105377,1,1,93,2,1,1,1
40823,0,6,92.35,2,1,1,1
15901,0,6,161,4,2,1,2
29160,0,6,81.62,3,1,1,1
79797,1,1,86.47,1,1,1,1
54230,0,7,138.3,2,2,1,2
31066,0,6,93.35,2,2,1,1
50000,0,2,129,3,1,1,2
35938,1,7,48,1,0,1,1
55288,1,7,62.22,3,1,1,1
40462,1,6,92.68,2,1,1,1
14833,0,6,99.78,3,1,1,1
39199,1,2,46.89,1,1,1,1
25667,1,8,60,1,1,1,2
41535,1,7,125.92,3,1,1,1
40791,1,7,103.7,2,2,1,2
46432,1,7,146.02,3,2,1,2
52944,1,7,55.72,2,1,1,1
21379,0,7,37.42,1,0,1,1
31053,1,3,38,1,0,1,1
45310,1,7,65.77,2,1,1,1
67588,0,8,398,4,2,1,5
