Name,Symbol,Mkt Cap,Price,Previous Close,52wk High Price,52wk Low Price,P/B,P/E,PEH,PEL,EPS,Current Ratio,Debt Ratio,ROE,ROA,Vol/30 Avg Vol,Vol/10 Avg Vol,P Position,P/E Position
"The Goldman Sachs Group, Inc.",GS,62359409200,180.4,183.49,250.46,130.85,0.69,9.69,13.61,7.11,18.61,1.07,0.91,0.09,0.01,0.81,0.95,0.41,0.4
"Apple, Inc.",AAPL,1211701676400,276.93,282.8,327.85,170.27,13.39,21.71,25.9,13.45,12.75,1.54,0.73,0.61,0.16,0.54,0.77,0.68,0.66
"Amazon.com, Inc.",AMZN,1193274425250,2393.61,2375.0,2461.0,1626.03,19.23,101.96,106.95,70.67,23.48,1.1,0.72,0.19,0.05,0.81,0.88,0.92,0.86
"Alphabet, Inc.",GOOG,870523412923,1266.61,1283.25,1532.11,1013.54,2.14,25.53,31.15,20.61,49.61,3.37,0.27,0.17,0.12,0.55,0.74,0.49,0.47
"Facebook, Inc.",FB,508150639963,178.24,179.24,224.2,137.1,4.24,27.52,34.81,21.29,6.48,4.4,0.24,0.18,0.14,0.58,0.69,0.47,0.46
Microsoft Corp.,MSFT,1331515113000,175.06,178.6,190.7,119.01,13.01,30.19,35.31,22.04,5.8,2.53,0.64,0.38,0.14,0.55,0.72,0.78,0.61
"Tesla, Inc.",TSLA,137620574040,746.36,753.89,968.99,176.99,20.79,-149.63,339.4,61.99,-4.99,1.13,0.76,-0.13,-0.03,0.77,0.76,0.72,-0.76
The Walt Disney Co.,DIS,184624294400,102.26,106.63,153.41,79.07,2.08,16.25,27.59,14.22,6.29,0.75,0.47,0.12,0.06,0.66,0.85,0.31,0.15
"Gilead Sciences, Inc.",GILD,102307965200,81.26,83.99,85.97,60.89,4.54,19.17,12.97,9.18,4.24,3.1,0.63,0.24,0.09,1.23,1.29,0.81,2.64
3M Co.,MMM,82647747870,143.67,146.46,219.75,114.04,8.21,18.15,24.53,12.73,7.92,1.41,0.77,0.45,0.1,0.51,0.7,0.28,0.46
The Coca-Cola Co.,KO,199771902000,46.53,48.06,60.13,36.27,10.52,22.3,28.5,17.19,2.09,0.76,0.76,0.47,0.1,0.68,1.0,0.43,0.45
"NIKE, Inc.",NKE,136686258000,87.9,89.91,105.62,60.0,12.06,31.81,38.97,22.14,2.76,2.1,0.62,0.45,0.17,0.54,0.89,0.61,0.57
"Under Armour, Inc.",UAA,4361037650,9.65,9.85,27.72,7.39,0.85,47.23,81.53,21.74,0.2,1.9,0.56,0.04,0.02,0.65,0.72,0.11,0.43
